title,funders
Who Killed Albert Einstein? From Open Data to Murder Mystery Games,Coordenação de Aperfeiçoamento de Pessoal de Nível Superior| Science Without Borders program
Factors that influence data sharing through data sharing platforms : a qualitative study on the views and experiences of cohort holders and platform developers,Horizon 2020 Framework Programme
"A Scenario-Based Methodology for Analyzing the Ethical, Legal, and Social Issues in Genomic Data Sharing:",Australian Research Council
Data Sharing and Embedded Research,NCCIH NIH HHS| NIMH NIH HHS| NCCIH NIH HHS| NCCIH NIH HHS| NCCIH NIH HHS| NCI NIH HHS| NIMH NIH HHS| NIDDK NIH HHS| NIAID NIH HHS| NCCIH NIH HHS| NCCIH NIH HHS| NIDDK NIH HHS| NCCIH NIH HHS| NIA NIH HHS| NIDDK NIH HHS| NIAMS NIH HHS| NINDS NIH HHS| NIA NIH HHS
Share and protect our health data: an evidence based approach to rare disease patients’ perspectives on data sharing and data protection - quantitative survey and recommendations,Wellcome Trust
Anonymous and Efficient Certificateless Multirecipient Signcryption Scheme for Ecological Data Sharing,Natural Science Function of Qinghai Province| Natural Science Function of Qinghai Province
European Journal of Pharmaceutical Sciences - Model-based clinical dose optimization for phenobarbital in neonates: An illustration of the importance of data sharing and external validation.,Netherlands Organisation for Health Research and Development| General University Hospital
What drives and inhibits researchers to share and use open research data? A systematic literature review to analyze factors influencing open research data adoption.,"Ministry of Science and Technology, Taiwan| Ministry of Science and Technology, Taiwan| Ministry of Education"
SACMAT - Preventing Information Inference in Access Control,COMMIT| European Defense Agency| Seventh Framework Programme| ITEA2| Eurocontrol
Synthetic Models of Distribution Networks Based on Open Data and Georeferenced Information,Horizon 2020 Framework Programme
Democratizing health system data to impact social and environmental health contexts: a novel collaborative community data-sharing model.,NHLBI NIH HHS| NCATS NIH HHS
Cpds: Enabling Compressed and Private Data Sharing for Industrial Internet of Things Over Blockchain,National Natural Science Foundation of China| National Natural Science Foundation of China| Fundamental Research Funds for the Central Universities| China Postdoctoral Science Foundation| Hong Kong GRF
The Tension Between Data Sharing and the Protection of Privacy in Genomics Research,Wellcome Trust| Wellcome Trust| Wellcome Trust
ICN - Analyzing GDPR compliance of named data networking,"Intel Labs, US NSF| EPSCoR Cooperative agreement"
Progress in promoting data sharing in public health emergencies.,World Health Organization
Fair and Dynamic Data Sharing Framework in Cloud-Assisted Internet of Everything,National Natural Science Foundation of China| National Natural Science Foundation of China| Fundamental Research Funds for the Central Universities| Natural Science Foundation of Shaanxi Province| China Postdoctoral Science Foundation| China Scholarship Council| National Research Foundation Singapore| AXA Research Fund
Modelling the potential effect of shared bicycles on public transport travel times in Greater Helsinki: An open data approach☆,KatuMetro research program| University of Helsinki
Transforming Education Research Through Open Video Data Sharing.,NICHD NIH HHS
INFOCOM Workshops - Secure Decentralized Access Control Policy for Data Sharing in Smart Grid,National Natural Science Foundation of China
Camflow: Managed Data-Sharing for Cloud Services,UK Engineering and Physical Sciences Research Council
UMAP (Adjunct Publication) - On the Benefits and Security Risks of a User-Centric Data Sharing Platform for Healthcare Provision,European Commission under H2020-EU.3.1.5.1.
Domain-Specific Data Sharing in Neuroscience: What Do We Have to Learn from Each Other?,NIMH NIH HHS| NIMH NIH HHS| NIMH NIH HHS
MISNC - Developing Four Stars Election Open Data in RDF: Evidence from Taiwan Election Open Data Project,Central Election Commission of Taiwan (ROC)
VizSec - A Visualization Interface to Improve the Transparency of Collected Personal Data on the Internet,Ministry of Education
A Puzzle-Based Data Sharing Approach with Cheating Prevention Using QR Code,Ministry of Science and Technology
Motivations for data sharing—views of research participants from four European countries: A DIRECT study,Medical Research Council| Medical Research Council
A Self-Controllable and Balanced Data Sharing Model,National Natural Science Foundation of China| Science and Technology Planning Project of Sichuan Province| Science and Technology Planning Project of Sichuan Province| Science and Technology Planning Project of Sichuan Province| Science and Technology Planning Project of Sichuan Province| Science and Technology Planning Project of Sichuan Province| Science and Technology Planning Project of Sichuan Province
Personal Data Market Optimization Pricing Model Based on Privacy Level,National Nature Science Foundation of China
Merits of Data Sharing: The Digitalis Investigation Group Trial.,AHRQ HHS
Consent recommendations for research and international data sharing involving persons with dementia,Canadian Institute of Health Research
Impact of HIPAA’s minimum necessary standard on genomic data sharing,NLM NIH HHS| NHGRI NIH HHS| NHGRI NIH HHS| NHGRI NIH HHS| NHGRI NIH HHS
GMSA: A Data Sharing System for Multiple Sequence Alignment Across Multiple Users,NationalNatural Science Foundation of China| NationalNatural Science Foundation of China| NationalNatural Science Foundation of China| Tianjin Natural Science Foundation
LC Data QUEST: A Technical Architecture for Community Federated Clinical Data Sharing,NLM NIH HHS
Data Sharing in Southeast Asia During the First Wave of the COVID-19 Pandemic.,Engineering and Physical Sciences Research Council
The difficulties of broad data sharing in genomic medicine: Empirical evidence from diverse participants in prenatal and pediatric clinical genomics research,National Human Genome Research Institute| National Institutes of Health
Semantic Specification of Data Types for a World of Open Data,"Center for Hierarchical Manufacturing, National Science Foundation"
CSP - Lightweight Blockchain-based Platform for GDPR-Compliant Personal Data Management,European Commission
"Better governance, better access: practising responsible data sharing in the METADAC governance infrastructure",Wellcome Trust| Medical Research Council| Medical Research Council| Medical Research Council| Medical Research Council| Medical Research Council| Medical Research Council| Medical Research Council| Medical Research Council| Medical Research Council
Global open data management in metabolomics,Biotechnology and Biological Sciences Research Council| Biotechnology and Biological Sciences Research Council
It depends whose data are being shared: considerations for genomic data sharing policies.,NIAID NIH HHS| NHGRI NIH HHS
IWCMC - Data sharing scheme for 5G IoT based on blockchain,National Natural Science Foundation of China
Equitable data sharing: challenges and suggestions for ways forward,"Medical Research Council| Bill and Melinda Gates Foundation| National Institutes of Health| Exxon Mobil Corporation| Wellcome Trust| Wellcome Trust| Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)’s Global Network for Women and Children’s Health Research, USA| National Research Center on Child and Maternal Health Dr. Hugo Mendoza (CENISMI)."
Accountable Proxy Re-Encryption for Secure Data Sharing,National Natural Science Foundation of China| National Natural Science Foundation of China| National Natural Science Foundation of China| National Natural Science Foundation of China
Data infrastructure requirements for new geodemographic classifications: The example of London's workplace zones,ESRC Consumer Data Research Centre
Data sharing and distribution security protection strategy for the electric power industry,State Grid Corporation of China
Secure and Efficient Data Sharing Scheme Based on Certificateless Hybrid Signcryption for Cloud Storage,National Natural Science Foundation of China| 111 Project
Data Authorship as an Incentive to Data Sharing.,Medical Research Council| Medical Research Council
A Blockchain-Based Medical Data Sharing and Protection Scheme,Southwest University for Nationalities| Key Fund Project of Sichuan Provincial Department of Education| Laboratory for Internet of Things and Mobile Internet Technology of Jiangsu Province| National Natural Science Foundation of China
DATA@SenSys - Designing privacy preserving data sharing middleware for internet of things,National Science Foundation (NSF)| National Science Foundation (NSF)| National Science Foundation (NSF)| National Science Foundation (NSF)| Defense Advanced Research Projects Agency
"""Closing the Loop"" Developing State-Level Data Sharing Interventions to Promote Optimum Outcomes Along the HIV Continuum of Care.",Health Research Services Administration
A Secured Proxy-Based Data Sharing Module in IoT Environments Using Blockchain,Programs of International Science and Technology Cooperation and Exchange of Sichuan Province
WebDISCO: A web service for distributed cox model learning without patient-level data sharing,NLM NIH HHS| NHGRI NIH HHS| NHGRI NIH HHS| NLM NIH HHS| NHLBI NIH HHS| NLM NIH HHS| NIGMS NIH HHS
Threshold Multi-keyword Search for Cloud-Based Group Data Sharing,the China Postdoctoral Science Foundation Funded Project| the Singapore National Research Foundation under the NCR Award| the AXA Research Fund| the Fundamental Research Funds for the Central Universities| Key Research and Development Program of Jiangxi Province| National Natural Science Foundation of China| the National Natural Science Foundation of Shaanxi Province| Hong Kong Scholar Program
WISCS@CCS - Privacy Risk in Cybersecurity Data Sharing,National Security Agency| Office of Naval Research Global
Scientific and technical data sharing: a trading perspective,Biotechnology and Biological Sciences Research Council
A CIO-centric local government data-sharing leadership ecosystem in China:,"the National Social Science Fund of China| the National Social Science Fund of China| the Fundamental Research Funds for the Central Universities, HUST| the Graduates' Inovation Found, Huazhong University of Science and Technology"
Modeling Ethics: Approaches to Data Creep in Higher Education.,Purdue Research Foundation
Pricing Personal Data Based on Data Provenance,The State Key Program of National Natural Science Foundation of China| The State Key Program of National Natural Science Foundation of China| The National Natural Science Foundation of China
The Managerial Dimension of Open Data Success: Focusing on the Open Data Initiatives in Korean Local Governments,Seoul National University
What Are Links in Linked Open Data? A Characterization and Evaluation of Links between Knowledge Graphs on the Web,European Union| Österreichische Forschungsförderungsgesellschaft
"Development and Assessment of a Web-Based National Spatial Data Infrastructure for Nature-Based Solutions and Their Social, Hydrological, Ecological, and Environmental Co-Benefits",National Science Foundation
PubChem BioAssay: A Decade's Development toward Open High-Throughput Screening Data Sharing.,"National Library of Medicine, National Institutes of Health"
Challenges arising when seeking broad consent for health research data sharing: a qualitative study of perspectives in Thailand,Wellcome Trust| Wellcome Trust| Wellcome Trust| Wellcome Trust
Hybrid Data-Sharing and Compression Strategy for Downlink Cloud Radio Access Network,Huawei Technologies| Natural Sciences and Engineering Research Council of Canada
BaDS: Blockchain-Based Architecture for Data Sharing with ABS and CP-ABE in IoT,National Key Research and Development Program of China| National Key Research and Development Program of China| National Key Research and Development Program of China| National Key Research and Development Program of China| National Key Research and Development Program of China
Australia: regulating genomic data sharing to promote public trust.,Australian Research Council
Sharing of clinical trial data and results reporting practices among large pharmaceutical companies: cross sectional descriptive study and pilot of a tool to improve company practices,NCATS NIH HHS
Effect of impact factor and discipline on journal data sharing policies,Intramural NIH HHS| Intramural NIH HHS
Collaborative data sharing via update exchange and provenance,Division of Information and Intelligent Systems| Defense Advanced Research Projects Agency
Privacy Risks from Genomic Data-Sharing Beacons,NHGRI NIH HHS| NHGRI NIH HHS
FAIR data sharing: The roles of common data elements and harmonization.,FDA HHS
What does it mean to embed ethics in data science? An integrative approach based on microethics and virtues,Johannes Kepler University Linz
Making data sharing work: the FCP/INDI experience,NIMH NIH HHS| NIMH NIH HHS| NIMH NIH HHS| NIMH NIH HHS| NIMH NIH HHS
DG.O - Laying the foundations for benchmarking open data automatically: a method for surveying data portals from the whole web,Coordenação de Aperfeiçoamento de Pessoal de Nível Superior| Conselho Nacional de Desenvolvimento Científico e Tecnológico| Fundação de Amparo à Pesquisa do Estado de São Paulo
A Compact Hybrid Evolutionary Algorithm for Large Scale Instance Matching in Linked Open Data Cloud,National Natural Science Foundation of China| Natural Science Foundation of Fujian Province| Scientific Research Startup Foundation of Fujian University of Technology| Fujian Province Outstanding Young Scientific Researcher Training Project| China Scholarship Council
Privacy-Preserving Multi-Authority Attribute-Based Data Sharing Framework for Smart Grid,National Natural Science Foundation of China| National Cryptography Development Fund| Key Research Project of Shaanxi Province| International S&T Cooperation Program of Shaanxi Province| Plan For Scientific Innovation Talent of Henan Province| Program for Science and Technology Innovation Talents in the Universities of Henan Province
Characterizing Disinformation Risk to Open Data in the Post-Truth Era,MEOPAR NCE
Impact of Real-Time Continuous Glucose Monitoring Data Sharing on Quality of Life and Health Outcomes in Adults with Type 1 Diabetes.,NIDDK NIH HHS
Digital atlases as a framework for data sharing.,NCRR NIH HHS| NCRR NIH HHS
Attribute-based Private Data Sharing with Script-driven Programmable Ciphertext and Decentralized Key Management in Blockchain Internet of Things,National Natural Science Foundation of China| National Key Technologies R and D Programs of China
An agenda-setting paper on data sharing platforms: euCanSHare workshop,Horizon 2020 Framework Programme| Horizon 2020 Framework Programme| Horizon 2020 Framework Programme| Horizon 2020 Framework Programme
A Collusion-Resistant Blockchain-Enabled Data Sharing Scheme with Decryption Outsourcing under Time Restriction,National Natural Science Foundation of China| National Natural Science Foundation of China
Data Sharing in Psychology: A Survey on Barriers and Preconditions,FP7 Ideas: European Research Council
Attribute-Based Data Sharing Scheme Revisited in Cloud Computing,Academy of Finland| National High-Technology Research and Development Program (“863” Program) of China| National Natural Science Foundation of China| National Natural Science Foundation of China| National Natural Science Foundation of China| Science and Technology Projects of Shenzhen| Science and Technology Projects of Shenzhen
Towards a data sharing Code of Conduct for international genomic research.,Wellcome Trust
Energy Efficiency Maximization for Downlink Cloud Radio Access Networks With Data Sharing and Data Compression,Newcastle University| Australian Research Council| Australian Research Council| National Foundation for Science and Technology Development of Vietnam| University of San Diego
Enabling Efficient Data Sharing With Auditable User Revocation for IoV Systems,National Natural Science Foundation of China| China Postdoctoral Science Foundation| National Natural Science Foundation of Shaanxi Province| Fundamental Research Funds for the Central Universities| Peoples Republic of China Ministry of Education Distinguished Possessor
ICEGOV - Building an open data ecosystem: an Irish experience,Science Foundation Ireland (SFI)
"Trust, Respect, and Reciprocity Informing Culturally Appropriate Data-Sharing Practice in Vietnam",Wellcome Trust| Wellcome Trust
CATS: Cooperative Allocation of Tasks and Scheduling of Sampling Intervals for Maximizing Data Sharing in WSNs,Program for New Century Excellent Talents in University| National Key Research and Development Program of China| National Natural Science Foundation of China| Hunan Provincial Natural Science Fund for Distinguished Young Scholars| Preliminary Research Funding of NUDT
KMLOD: linked open data service for Korean medical database,Ministry of Health and Welfare| Ministry of Science ICT and Future Planning
A policy Delphi study to validate the key implications of data sharing (KIDS) framework for pediatric genomics in Canada.,CIHR
Secure and Efficient Data Sharing Among Vehicles Based on Consortium Blockchain,National Natural Science Foundation of China| National Natural Science Foundation of China| National Natural Science Foundation of China| Special Fund for Key Program of Science and Technology of Anhui Province China| Open Fund of Key Laboratory of Embedded System and Service Computing Tongji University Ministry of Education
Transmitter-Selection Aided Adaptive Consensus-Based Data Sharing for UAV Swarms,National Natural Science Foundation of China| National Natural Science Foundation of China| National Natural Science Foundation of China| National University of Defense Technology| State Key Laboratory of High Performance Computing Project Fund
Efficient Data Sharing With Privacy Preservation Over Lattices for Secure Cloud Storage,National Natural Science Foundation of China| Shandong Province Higher Education Science and Technology Program
Data sharing and dual-use issues.,Wellcome Trust
SAC - Analysis of architectural variants for auditable blockchain-based private data sharing,imec-ICON BoSS project| Research Fund KU Leuven
EU general data protection regulation : changes and implications for personal data collecting companies,Tauno Tönning Foundation| Finnish Foundation for Technology Promotion
MeDShare: Trust-Less Medical Data Sharing Among Cloud Service Providers via Blockchain,Sichuan Province| Fundamental Research Funds for the Central Universities| Fundamental Research Funds for the Central Universities| Fundamental Research Funds for the Central Universities| International Science and Technology Cooperation and Exchange of Sichuan Province| Key Research and Development Projects of High and New Technology Development and Industrialization of Sichuan Province| National Key Project in Cyber Security| National Key Research and Development Program of China
Making open data work for plant scientists,Biotechnology and Biological Sciences Research Council| Biotechnology and Biological Sciences Research Council| Biotechnology and Biological Sciences Research Council| Biotechnology and Biological Sciences Research Council| Biotechnology and Biological Sciences Research Council| Biotechnology and Biological Sciences Research Council| Biotechnology and Biological Sciences Research Council
"Personal data management and accountability: European regulation, market principles and civic agency strategies",Belgian Federal Science Policy Office
TVX - Explicating the Challenges of Providing Novel Media Experiences Driven by User Personal Data,Engineering and Physical Sciences Research Council
Privacy-preserving data sharing infrastructures for medical research: systematization and comparison.,Charité - Universitätsmedizin Berlin
AIES - Auditing Algorithms: On Lessons Learned and the Risks of Data Minimization,La Caixa
Open data products-A framework for creating valuable analysis ready data,Economic and Social Research Council
Secure Data Sharing and Search for Cloud-Edge-Collaborative Storage,National Natural Science Foundation of China| Guangdong Provincial Science and Technology Plan Project| Guangdong Provincial Key Research and Development Plan Project| Shenzhen Fundamental Research Program
Public integrity verification for data sharing in cloud with asynchronous revocation,"Department of Science and Technology, Hubei Provincial People's Government| Tarim University| Chongqing Municipal Education Commission| Science and Technology Department of Xinjiang Uyghur Autonomous Region| Chongqing Science and Technology Foundation| National Natural Science Foundation of China| Ministry of Science and Technology of the People's Republic of China"
Open data and digital morphology,Royal Commission for the Exhibition of 1851| H2020 European Research Council| Vetenskapsrådet| The Calleva Foundation| Leverhulme Trust| Human Origins Research Fund| National Science Foundation| Royal Society| Biotechnology and Biological Sciences Research Council
A Data-Driven Security Risk Assessment Scheme for Personal Data Protection,"Center for Cyber-physical System Innovation from The Featured Areas Research Center Program within the framework of the Higher Education Sprout Project by the Ministry of Education (MOE) in Taiwan| Ministry of Science and Technology, Taiwan| Ministry of Science and Technology, Taiwan| Ministry of Science and Technology, Taiwan| Ministry of Science and Technology, Taiwan"
Psychology of personal data donation.,Research Councils UK| Research Councils UK| University of Bristol
Deep Connection: Making Virtual Reality Artworks with Medical Scan Data,Interface| University of Alberta| Scan
Data sharing and intellectual property in a genomic epidemiology network: policies for large-scale research collaboration,Medical Research Council| Medical Research Council| Wellcome Trust
Safety of 8-aminoquinolines given to people with G6PD deficiency: protocol for systematic review of prospective studies,Department of Health
Does the GDPR Enhance Consumers’ Control over Personal Data? An Analysis from a Behavioural Perspective,Universiteit Leiden
Cooperative Data Sharing for Mobile Cloudlets Under Heterogeneous Environments,National Natural Science Foundation of China| National Natural Science Foundation of China| National Natural Science Foundation of China| Science Fund for Distinguished Young Scholars in Hunan Province| China Postdoctoral Science Foundation| China Postdoctoral Science Foundation| National Science Foundation| National Science Foundation| IBM faculty award
Secure and Privacy-Preserving Data Sharing and Collaboration in Mobile Healthcare Social Networks of Smart Cities,National Key Research and Development Program of China| National Key Research and Development Program of China| National Key Research and Development Program of China
Reported Individual Costs and Benefits of Sharing Open Data among Canadian Academic Faculty in Ecology and Evolution,Natural Sciences and Engineering Research Council of Canada| European Union
Data sharing statements for clinical trials: a requirement of the International Committee of Medical Journal Editors.,World Health Organization
Ecological data sharing,NSF| NSF| NSF
Codifying collegiality: recent developments in data sharing policy in the life sciences.,NHGRI NIH HHS| Howard Hughes Medical Institute
Cyberinfrastructure for Open Science at the Montreal Neurological Institute,Canadian Institutes of Health Research| Natural Sciences and Engineering Research Council of Canada| National Institutes of Health| Canarie
Exploring the relevance of ORCID as a source of study of data sharing activities at the individual-level: a methodological discussion,"Ministerio de Ciencia, Innovación y Universidades| South African DST-NRF Centre of Excellence in Scientometrics and Science, Technology and Innovation Policy"
Use of Open Access Platforms for Clinical Trial Data,NHLBI NIH HHS
Global Public Perceptions of Genomic Data Sharing: What Shapes the Willingness to Donate DNA and Health Data?,Wellcome Trust
EASE - Open Data-driven Usability Improvements of Static Code Analysis and its Challenges,Vinnova| The Swedish Foundation for Strategic Research| The Swedish Research Council
WebSci (Companion) - AI4Good - The Ethical and Societal Implications of using AI in Scientific Discovery: Chairs’ Welcome and Workshop Summary,Engineering and Physical Sciences Research Council
CHI - Brooke Leave Home: Designing a Personalized Film to Support Public Engagement with Open Data,Engineering and Physical Sciences Research Council
Open Data Hackathon – Vergleich von in Präsenz und online durchgeführten Projektseminaren,Universität zu Lübeck
Did awarding badges increase data sharing in BMJ Open? A randomized controlled trial,NCATS NIH HHS
Efficient and Privacy-Preserving Medical Data Sharing in Internet of Things With Limited Computing Power,National Key Research and Development Program of China| National Natural Science Foundation of China| National Natural Science Foundation of China| National Natural Science Foundation of China| Natural Science Basic Research Plan in Shaanxi Province of China| Natural Science Basic Research Plan in Shaanxi Province of China
Exploring the space of jets with CMS open data,U.S. Department of Energy| U.S. Department of Energy| U.S. Department of Energy| Heising-Simons Foundation| Simons Foundation| Office of Nuclear Physics| Office of High Energy Physics
Lightweight Privacy-Preserving Data Sharing Scheme for Internet of Medical Things,Natural Science Foundation of Guangxi Province| Natural Science Foundation of Guangxi Province| Natural Science Foundation of Guangxi Province| Natural Science Foundation of Guangxi Province| Natural Science Foundation of Guangxi Province| Natural Science Foundation of Guangxi Province
"nmrML: A Community Supported Open Data Standard for the Description, Storage, and Exchange of NMR Data",Biotechnology and Biological Sciences Research Council| Medical Research Council| Medical Research Council| Medical Research Council
Data Sharing Mechanism of Sensors and Actuators of Industrial IoT Based on Blockchain-Assisted Identity-Based Cryptography,National Natural Science Foundation of China| Key Technology Research & Innovation Team Project
Privacy-Preserving Data Sharing in High Dimensional Regression and Classification Settings,U.S. Army| National Science Foundation| National Science Foundation
Controversies between regulations of research ethics and protection of personal data: informed consent at a cross-road.,Horizon 2020
iiWAS - Improving Findability of Open Data Beyond Data Catalogs,Grantová Agentura ðeské Republiky
Four key challenges in the open-data revolution,Natural Environment Research Council
"CHI - Assessing MyData Scenarios: Ethics, Concerns, and the Promise",Academy of Finland
Supporting evidence-based analysis for modified risk tobacco products through a toxicology data-sharing infrastructure.,Philip Morris International
Entrepreneurship Through Open Data: An Opportunity for Sustainable Development,Universidad Rey Juan Carlos
"Badges to Acknowledge Open Practices: A Simple, Low-Cost, Effective Method for Increasing Transparency",The Laura and John Arnold Foundation| The John Templeton Foundation| National Institute on Aging
"Spatial heterogeneity of the thermal environment based on the urban expansion of natural cities using open data in Guangzhou, China",National Natural Science Foundation of China| National Natural Science Foundation of China| Natural Science Foundation of Guangdong Province| Major Science and Technology Projects
Data sharing Statements for Clinical Trials: A requirement of the International Committee of Medical Journal Editors,World Health Organization
"Data sharing practices of medicines related apps and the mobile ecosystem: traffic, content, and network analysis",CIHR
A comparative analysis of personal data protection regulations between the EU and China,National Natural Science Foundation of China| National Key Research and Development Program of China
Transformative Use of an Improved All-Payer Hospital Discharge Data Infrastructure for Community-Based Participatory Research: A Sustainability Pathway.,AHRQ HHS| NIMHD NIH HHS
A Medical Data Sharing Platform Based On Permissioned Blockchains,"This work is supported by National Key Laboratory of Software Environment at Beihang University, National 973 Program (Grant No. 2013CB329601) and National Natural Science Foundation of China (Grant No. 61472032) , (Grant No. 61672075) and (Grant No. 61690"
Fine-Grained Two-Factor Protection Mechanism for Data Sharing in Cloud Storage,National Natural Science Foundation of China| National Natural Science Foundation of China| National Natural Science Foundation of China| Natural Science Foundation of Zhejiang| Key Science Research Development Plan Zhejiang Province
Protecting User Privacy and Rights in Academic Data-Sharing Partnerships: Principles From a Pilot Program at Crisis Text Line,NIMH NIH HHS| NIMH NIH HHS
Reporting trends in a regional medication error data-sharing system,AHRQ HHS
Assessing Governmental Policies' Impact through Prosperity Indicators and Open Data,Seventh Framework Programme
Research on Agricultural Internet of Things Data Sharing System Based on Blockchain,Jiangsu Province Key R&D Project
CHI Extended Abstracts - Mobile Age: Open Data Mobile Apps to Support Independent Living,Horizon 2020
Doing data differently? Developing personal data tactics and strategies amongst young mobile media users:,auDA Foundation
Decentralized data processing: personal data stores and the GDPR,"Engineering & Physical Sciences Research Council| Engineering & Physical Sciences Research Council| University of Cambridge via the Trust & Technology Initiative, and Microsoft via the Microsoft Cloud Computing Research Centre"
Nothing to Hide? On the Security and Privacy Threats Beyond Open Data,Spanish Government| Spanish Government| European Social Fund
WWW (Companion Volume) - Social Personal Data Stores: the Nuclei of Decentralised Social Machines,EPSRC
A systematic literature review of individuals' perspectives on broad consent and data sharing in the United States.,NHGRI NIH HHS| NHGRI NIH HHS| NHGRI NIH HHS| NHGRI NIH HHS| NHGRI NIH HHS| NHGRI NIH HHS| NHGRI NIH HHS| NHGRI NIH HHS| NHGRI NIH HHS| NHGRI NIH HHS| NHGRI NIH HHS| NHGRI NIH HHS| NHGRI NIH HHS| NHGRI NIH HHS| NHGRI NIH HHS
An efficient and secure data sharing scheme for mobile devices in cloud computing,Natural Science Foundation of China| Natural Science Foundation of Shandong Province
An ECC-based access control scheme with lightweight decryption and conditional authentication for data sharing in vehicular networks,National Key Research and Development Program of China| National Natural Science Foundation of China| National Natural Science Foundation of China
MedChain: Efficient Healthcare Data Sharing via Blockchain,Universidade de Macau
Constraints on data sharing: experience from the nurses' health study.,NCI NIH HHS
DG.O - An Exploration of Factors Influencing Taiwan Government Agencies’ Open Data Participation: A Multi-Group Analysis Perspective,"The Ministry of Science and Technology, Taiwan"
EarComp@UbiComp - A Data Sharing Platform for Earables Research,Engineering and Physical Sciences Research Council
A Practical and Efficient Bidirectional Access Control Scheme for Cloud-Edge Data Sharing,"National Natural Science Foundation of China| National Natural Science Foundation of China| National Natural Science Foundation of China| Special Fund for Key Program of Science and Technology of Anhui Province, China| Open Fund for Discipline Construction| Institute of Physical Science and Information Technology, Anhui University"
GDPR: When the Right to Access Personal Data Becomes a Threat,MIUR
Privacy-preserving data sharing via probabilistic modeling,Academy of Finland
IMX - Human Data Interaction in Data-Driven Media Experiences : An Exploration of Data Sensitive Responses to the Socio-Technical Challenges of Personal Data Leverage,EPSRC
Research data infrastructure for high-throughput experimental materials science,"Race and Difference Initiative, Emory University| Office of Science| Office of Energy Efficiency and Renewable Energy| U.S. Department of Energy| National Renewable Energy Laboratory"
Responsible data sharing in a big data-driven translational research platform : Lessons learned,Innovative Medicines Initiative
Block Design-Based Key Agreement for Group Data Sharing in Cloud Computing,National Natural Science Foundation of China| National Natural Science Foundation of China| National Natural Science Foundation of China| National Natural Science Foundation of China| National Natural Science Foundation of China| State Key Laboratory of Information Security| 2015 Project of six personnel in Jiangsu Province| CICAEET| Priority Academic Program Development of Jiangsu Higher Education Institutions
The social imaginaries of data activism,Tekes
Blockchain-Based Incentives for Secure and Collaborative Data Sharing in Multiple Clouds,Beijing Natural Science Foundation| National Natural Science Foundation of China| National Natural Science Foundation of China
A Blockchain Future for Secure Clinical Data Sharing: A Position Paper,National Science Foundation| National Science Foundation| National Science Foundation
Toward collaborative open data science in metabolomics using Jupyter Notebooks and cloud computing.,Australian Research Council
Team climate mediates the effect of diversity on environmental science team satisfaction and data sharing.,National Science Foundation| Institute of Food and Agricultural Sciences
Reflections on Data Sharing Practices in Spinal Cord Injury Research.,NINDS NIH HHS| NINDS NIH HHS| NINDS NIH HHS| NINDS NIH HHS
Linked Open Data in Location-Based Recommendation System on Tourism Domain: A Survey,National Natural Science Foundation of China| National Natural Science Foundation of China| National Natural Science Foundation of China| Natural Science Foundation of Guangxi Province
User Recommendation for Data Sharing in Social Internet of Things.,National Research Foundation of Korea| Institute of Information & Communications Technology Planning & Evaluation| Korea Institute for Advancement of Technology
Conclusion: harmonisation in genomic and health data sharing for research: an impossible dream?,Wyng Foundation of Hong Kong
A Solutions-Based Approach to Building Data-Sharing Partnerships.,AHRQ HHS| NLM NIH HHS| NIAID NIH HHS| NIAAA NIH HHS| AHRQ HHS
Open data on health-related neighbourhood features in Great Britain.,RCUK | Economic and Social Research Council (ESRC)| RCUK | Economic and Social Research Council (ESRC)| RCUK | Economic and Social Research Council (ESRC)| RCUK | Economic and Social Research Council (ESRC)
Facilitating Physical Activity through On-Site Quantified-Self Data Sharing,China Scholarship Council
The COVID-19 Data Portal: accelerating SARS-CoV-2 and COVID-19 research through rapid open access data sharing.,EMBL-EBI| EOSC-Life
ICBCT - Government Data Sharing based on Blockchain,National Defense Basic Scientific Research Program of China
Toward community-inclusive data ecosystems: Challenges and opportunities of open data for community-based organizations,Institute of Museum and Library Services
The cardiovascular risk of celecoxib for knee osteoarthritis: A protocol for systematic review and meta-analysis.,Key Programme| Major Research Plan| Major Research Plan| Young Scientists Fund
Secure and efficient data-sharing in clouds,National Natural Science Foundation of China
Data Shared Lasso,NHLBI NIH HHS| NIBIB NIH HHS
The NOMAD Laboratory: From Data Sharing to Artificial Intelligence,Horizon 2020 Framework Programme
An Identity-Based and Revocable Data-Sharing Scheme in VANETs,Ministry of Science and Technology| Center for Cyber&#x2013;Physical System Innovation| Featured Areas Research Center Program| Ministry of Education (MOE) in Taiwan
A Method for Identifying Geospatial Data Sharing Websites by Combining Multi-Source Semantic Information and Machine Learning,National Natural Science Foundation of China| National Natural Science Foundation of China
"FAIR, safe and high-quality data: The data infrastructure and accessibility of the YOUth cohort study.",Nederlandse Organisatie voor Wetenschappelijk Onderzoek
UbiComp Adjunct - Understanding rail travel through the curation of personal data,RCUK's Horizon Digital Economy Research Institute| Horizon Centre for Doctoral Training at the University of Nottingham
Efficient and Privacy-preserving Fog-assisted Health Data Sharing Scheme,International Science 8 Technology Cooperation Program of China| 111 project| National Natural Science Foundation of China| China Hunan Provincial Science 8 Technology Program
Research data management in clinical neuroscience: the national research data infrastructure initiative,Deutsche Forschungsgemeinschaft| Bundesministerium für Bildung und Forschung
